"","sst","pden","chl","c"
"720",-0.996710706474665,-3.38684902189074,0.0609158942753187,0.0609158942753187
"721",-0.983170889948325,-3.63099090355377,0.0590071936240592,0.0590071936240592
"722",-0.969323166265414,-3.87397161510617,0.057081376684003,0.057081376684003
"723",-0.955172245021192,-4.11571292782749,0.0551389627703666,0.0551389627703666
"724",-0.940722915259108,-4.35613883945474,0.0531804733454273,0.0531804733454273
"725",-0.925980060080994,-4.59517544743214,0.0512064351296283,0.0512064351296283
"726",-0.9109486603438,-4.83275067332166,0.0492173822497802,0.0492173822497802
"727",-0.895633794528722,-5.06879377513479,0.0472138572084929,0.0472138572084929
"728",-0.880040640180108,-5.30323508494577,0.0451964122597815,0.0451964122597815
"729",-0.864174468805303,-5.53600603836917,0.0431656106124915,0.0431656106124915
"730",-0.848040649345862,-5.76703916644236,0.0411220271795338,0.0411220271795338
"731",-0.831644663669018,-5.99626798707649,0.0390662496637206,0.0390662496637206
"732",-0.814992103736804,-6.22362708877928,0.0369988777073623,0.0369988777073623
"733",-0.798088654128079,-6.44905237851294,0.0349205195064743,0.0349205195064743
"734",-0.780940083046579,-6.6724813209707,0.032831790170467,0.032831790170467
"735",-0.763552232999431,-6.893853325517,0.0307333113289284,0.0307333113289284
"736",-0.745931020070978,-7.1131099566188,0.0286257100755687,0.0286257100755687
"737",-0.728082446758732,-7.33019487130042,0.0265096186785387,0.0265096186785387
"738",-0.710012603690243,-7.54505373330566,0.0243856729049309,0.0243856729049309
"739",-0.691727662874924,-7.75763412511732,0.0222545082129079,0.0222545082129079
"740",-0.67323387654177,-7.96788544503014,0.0201167579075737,0.0201167579075737
"741",-0.654537576258487,-8.17575880103882,0.0179730528668217,0.0179730528668217
"742",-0.635645172789118,-8.38120710413758,0.0158240208606614,0.0158240208606614
"743",-0.616563159165428,-8.58418523103935,0.0136702862710158,0.0136702862710158
"744",-0.597298105188653,-8.78465008129305,0.0115124695926581,0.0115124695926581
"745",-0.577856645634437,-8.9825606584209,0.00935118635719894,0.00935118635719894
"746",-0.558245470756897,-9.17787800184814,0.007187046860147,0.007187046860147
"747",-0.53847131499924,-9.37056498317732,0.00502065682204534,0.00502065682204534
"748",-0.518540954606838,-9.56058609614554,0.00285261784299098,0.00285261784299098
"749",-0.49846121512043,-9.74790713763841,0.000683527811418084,0.000683527811418084
"750",-0.478238971865579,-9.93249479473372,-0.00148601905880174,-0.00148601905880174
"751",-0.457881148706923,-10.1143162138858,-0.00365543302674047,-0.00365543302674047
"752",-0.437394715974507,-10.2933386401989,-0.00582412897397674,-0.00582412897397674
"753",-0.416786680607307,-10.4695291672961,-0.00799152611124395,-0.00799152611124395
"754",-0.396064088159722,-10.6428546270195,-0.0101570478224541,-0.0101570478224541
"755",-0.375234037847245,-10.8132814846798,-0.0123201211125481,-0.0123201211125481
"756",-0.354303681195624,-10.9807759096541,-0.0144801779463347,-0.0144801779463347
"757",-0.333280209980982,-11.1453041179264,-0.0166366586289226,-0.0166366586289226
"758",-0.312170847448105,-11.306832539691,-0.018789014095342,-0.018789014095342
"759",-0.290982834343879,-11.465327905059,-0.0209367072593095,-0.0209367072593095
"760",-0.269723424550448,-11.6207573859912,-0.0230792145733353,-0.0230792145733353
"761",-0.24839989543056,-11.7730885643451,-0.0252160271548731,-0.0252160271548731
"762",-0.227019543500398,-11.9222894820531,-0.0273466521851951,-0.0273466521851951
"763",-0.205589666836276,-12.0683289556079,-0.0294706155945384,-0.0294706155945384
"764",-0.184117560110364,-12.2111765673027,-0.0315874620017093,-0.0315874620017093
"765",-0.162610515591381,-12.350802374845,-0.0336967514167953,-0.0336967514167953
"766",-0.14107582394927,-12.4871768974988,-0.0357980576454533,-0.0357980576454533
"767",-0.119520781709879,-12.6202711337593,-0.037890967309872,-0.037890967309872
"768",-0.0979526880335459,-12.7500565654517,-0.0399750789715004,-0.0399750789715004
"769",-0.0763788299134838,-12.8765053434858,-0.0420500039309487,-0.0420500039309487
"770",-0.054806474733201,-12.9995902946773,-0.0441153647431605,-0.0441153647431605
"771",-0.0332428669907436,-13.1192847347851,-0.0461707908859419,-0.0461707908859419
"772",-0.0116952256276487,-13.2355624367582,-0.0482159160262973,-0.0482159160262973
"773",0.0098292553833926,-13.348397624255,-0.0502503761118739,-0.0502503761118739
"774",0.0313234068314608,-13.4577648290881,-0.0522738071867056,-0.0522738071867056
"775",0.0527800843368063,-13.5636387593171,-0.0542858443191677,-0.0542858443191677
"776",0.0741921662435035,-13.6659941766211,-0.0562861192387183,-0.0562861192387183
"777",0.0955525522408752,-13.7648057650313,-0.0582742563951794,-0.0582742563951794
"778",0.11685415897958,-13.8600481748289,-0.0602498706246347,-0.0602498706246347
"779",0.13808991123062,-13.9516961082806,-0.0622125657665269,-0.0622125657665269
"780",0.159252743568655,-14.0397244614867,-0.0641619341298371,-0.0641619341298371
"781",0.180335609433102,-14.124108636566,-0.0660975576899841,-0.0660975576899841
"782",0.201331489987901,-14.2048247277371,-0.0680190082964343,-0.0680190082964343
"783",0.222233409378528,-14.2818496405252,-0.0699258467572803,-0.0699258467572803
"784",0.243034439929992,-14.355161219001,-0.0718176230172008,-0.0718176230172008
"785",0.263727693877251,-14.4247382360172,-0.0736938764196302,-0.0736938764196302
"786",0.284306326738734,-14.4905603506251,-0.07555413671796,-0.07555413671796
"787",0.304763548904586,-14.552608146328,-0.07739792671857,-0.07739792671857
"788",0.325092629158625,-14.6108630535069,-0.0792247628262684,-0.0792247628262684
"789",0.345286896955085,-14.6653071474171,-0.0810341537276833,-0.0810341537276833
"790",0.365339741977275,-14.7159231822872,-0.0828255999887534,-0.0828255999887534
"791",0.385244604864505,-14.7626947279007,-0.0845985935490483,-0.0845985935490483
"792",0.404994981495734,-14.8056062189489,-0.0863526178040417,-0.0863526178040417
"793",0.424584441392008,-14.8446430668891,-0.0880871490106674,-0.0880871490106674
"794",0.444006634453625,-14.8797916641306,-0.0898016562052418,-0.0898016562052418
"795",0.463255290986504,-14.9110392401206,-0.0914955994217359,-0.0914955994217359
"796",0.482324221971048,-14.9383737953573,-0.0931684294168014,-0.0931684294168014
"797",0.501207314254849,-14.9617840466051,-0.0948195884734909,-0.0948195884734909
"798",0.519898530075162,-14.9812592300563,-0.0964485106477066,-0.0964485106477066
"799",0.538391912918784,-14.9967888339739,-0.0980546226246408,-0.0980546226246408
"800",0.556681586711383,-15.0083624697794,-0.0996373437855762,-0.0996373437855762
"801",0.57476175056487,-15.0159698644351,-0.101196084852525,-0.101196084852525
